je	1	sg	me	me	me	moi	mon	ma	mes	mien	mienne	miens	miennes
tu	2	sg	te	te	te	toi	ton	ta	tes	tien	tienne	tiens	tiennes
il	3	sg	se	le	lui	lui	son	sa	ses	sien	sienne	siens	siennes
elle	3	sg	se	la	lui	elle	son	sa	ses	sien	sienne	siens	siennes
on	3	sg	se			soi	son	sa	ses	sien	sienne	siens	siennes
nous	1	pl	nous	nous	nous	nous	notre	notre	nos	nôtre	nôtre	nôtres	nôtres
vous	2	pl	vous	vous	vous	vous	votre	votre	vos	vôtre	vôtre	vôtres	vôtres
ils	3	pl	se	les	leur	eux	leur	leur	leurs	leur	leur	leurs	leurs
elles	3	pl	se	les	leur	elles	leur	leur	leurs	leur	leur	leurs	leurs
